SUID,name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
7480,DRAP1,0,0.24895397,0,6,1,0,FALSE,,16,1,0,FALSE,0,DRAP1,0
7508,E2F5,0,0.26096491,0,6,1,0,FALSE,,78,1,0,FALSE,0,E2F5,0
7510,E2F6,0,0.32513661,0.5,5,2,0,FALSE,,45,2,0,FALSE,0,E2F6,0
7513,E2F7,0,0.29166667,0,5,1,0,FALSE,,44,1,0,FALSE,0,E2F7,0
7515,E2F8,0,0.29166667,0,5,1,0,FALSE,,44,1,0,FALSE,0,E2F8,0
7517,EBF1,0,0.23762376,0,7,1,0,FALSE,,6,1,0,FALSE,0,EBF1,0
7519,EGF,0,0.26984127,0,6,1,0,FALSE,,20,1,0,FALSE,0,EGF,0
7537,ELL,0,0.29166667,0,5,1,0,FALSE,,44,1,0,FALSE,0,ELL,0
7539,ENO1,0,0.26621924,0,6,2,0,FALSE,,47.5,2,0,FALSE,0,ENO1,0
7557,ERF,0,0.25925926,0,6,1,0,FALSE,,7,1,0,FALSE,0,ERF,0
7559,ERG,0,0.22623574,0,6,1,0,FALSE,,10,1,0,FALSE,0,ERG,0
7579,ESRRA,0,0.25591398,0,6,2,0,FALSE,,14.5,2,0,FALSE,0,ESRRA,0
7591,ETV1,0,0.28953771,0,5,1,0,FALSE,,55,1,0,FALSE,0,ETV1,0
7593,ETV3,0,0.33615819,0.5,5,2,0,FALSE,,51,2,0,FALSE,0,ETV3,0
7597,ETV7,0,0.28,0,5,2,0,FALSE,,11,2,0,FALSE,0,ETV7,0
7600,EWSR1,0,0.24485597,0.5,6,2,0,FALSE,,11.5,2,0,FALSE,0,EWSR1,0
7603,EZH2,0,0.39666667,0.1,4,11,0,FALSE,,27.54545455,11,0,FALSE,0,EZH2,0
7616,FHL2,0,0.33615819,0.5,5,2,0,FALSE,,51,2,0,FALSE,0,FHL2,0
7619,FLI1,0,0.34195402,0,5,3,0,FALSE,,17.66666667,3,0,FALSE,0,FLI1,0
